village,room,size,direction,price,age,area,position,id
慧华苑,2室1厅,75,南 北,6000,1996年建板楼,昌平,回龙观,101103000000
融泽嘉园,2室1厅,87,南,6000,2014年建板塔结合,昌平,回龙观,101103000000
龙锦苑四区,2室1厅,66,南 北,6000,2003年建板楼,昌平,回龙观,101103000000
长滩壹号,3室1厅,102,南 北,6000,2010年建板楼,昌平,南邵,101103000000
嘉诚花园一期,2室1厅,74,南 北,6000,1998年建板楼,昌平,立水桥,101103000000
旗胜家园,2室1厅,89,南 北,6200,2009年建板塔结合,昌平,西三旗,101103000000
融泽嘉园,2室1厅,93,南 北,6200,2014年建板楼,昌平,回龙观,101103000000
矩阵二期,1室1厅,53,东南,6290,2002年建板塔结合,昌平,回龙观,BJ0004385418
首开国风美唐综合楼,2房间1卫,67,南,6400,2014年建板楼,昌平,回龙观,101103000000
旗胜家园,2室1厅,89,南,6500,2009年建板塔结合,昌平,西三旗,101103000000
溪城家园,2室1厅,81,南 北,6500,2010年建板塔结合,昌平,立水桥,101103000000
天通苑东一区,2室1厅,98,南,6530,2001年建塔楼,昌平,天通苑,BJ0004386012
流星花园三区,2室1厅,100,南 北,6800,2006年建板楼,昌平,回龙观,101103000000
北京人家,3室1厅,110,南,6800,2005年建板塔结合,昌平,回龙观,101103000000
紫金新干线二期,2室1厅,91,南,6890,2013年建板楼,昌平,霍营,BJ0004400401
融泽嘉园,2室1厅,87,南,7090,随时看房,昌平,回龙观,BJ0004397887
合立方,2室1厅,72,西,7130,2010年建塔楼,昌平,立水桥,BJ0004401495
流星花园三区,2室1厅,86,南,7290,2006年建塔楼,昌平,回龙观,BJ0004388031
龙腾苑六区,2室1厅,96,南 北,7500,2002年建板楼,昌平,回龙观,101103000000
云趣园二区,3室2厅,143,南 北,7500,2000年建板楼,昌平,回龙观,101103000000
云趣园一区,3室2厅,103,南 北,7500,2000年建板楼,昌平,回龙观,101103000000
北京人家,3室1厅,131,南 北,7800,2005年建板塔结合,昌平,回龙观,101103000000
天通苑东一区,3室1厅,129,南 北,8000,2001年建板楼,昌平,天通苑,101103000000
龙跃苑四区,3室1厅,119,南 北,8500,2005年建板楼,昌平,回龙观,101103000000
天通苑东二区,3室1厅,136,南 北,8500,2001年建板楼,昌平,天通苑,101103000000
融泽嘉园,3室1厅,113,南 北,9000,2014年建板塔结合,昌平,回龙观,101103000000
天通苑北三区,4室1厅,145,南 北,9000,2003年建板楼,昌平,天通苑,101103000000
新龙城,3室2厅,139,东 南 北,10000,2007年建板塔结合,昌平,回龙观,101103000000
流星花园三区,4室1厅,163,南,11000,2003年建板楼,昌平,回龙观,101103000000
新龙大厦,1房间1卫,59,西,12000,2010年建塔楼,昌平,西三旗,101103000000
海德堡花园,4室1厅,185,南 北,12000,2001年建,昌平,北七家,101103000000
北京湾,5室3厅,353,南 北,12000,2013年建,昌平,昌平其它,101103000000
金色漫香苑,5室2厅,189,南 北,12000,2013年建板楼,昌平,北七家,101103000000
华远静林湾,3室1厅,234,南 北,13500,2006年建,昌平,回龙观,101103000000
奥北南区,1房间0卫,46,南,14000,2008年建板塔结合,昌平,立水桥,101103000000
龙城花园S区,4室2厅,217,南 北,15000,1999年建,昌平,回龙观,101103000000
吉晟别墅,4室1厅,261,南 北,20000,2005年建,昌平,回龙观,101103000000
东洲家园,3室1厅,7,西,1790,随时看房,朝阳,北苑,BJ0004390464
南平里,3室1厅,10,南,1790,1994年建板楼,朝阳,首都机场,BJ0003907213
东洲家园,3室1厅,7,西,1790,随时看房,朝阳,北苑,BJ0004390395
东洲家园,3室1厅,7,南,1790,随时看房,朝阳,北苑,BJ0004390394
管庄北二里,4室1厅,8,西,1930,2013年建塔楼,朝阳,管庄,BJ0004400575
管庄北二里,4室1厅,8,西,1930,2013年建塔楼,朝阳,管庄,BJ0004400575
东洲家园,3室1厅,11,南,1930,随时看房,朝阳,北苑,BJ0004391446
东洲家园,3室1厅,10,西,1930,随时看房,朝阳,北苑,BJ0004390656
东洲家园,3室1厅,11,南,1930,随时看房,朝阳,北苑,BJ0004390562
东洲家园,3室1厅,11,西,1930,随时看房,朝阳,北苑,BJ0004390564
东洲家园,3室1厅,10,西,1930,随时看房,朝阳,北苑,BJ0004324685
东洲家园,3室1厅,10,西,1930,随时看房,朝阳,北苑,BJ0004322299
东洲家园,3室1厅,10,西,1930,随时看房,朝阳,北苑,BJ0004324670
东洲家园,3室1厅,8,东,1930,随时看房,朝阳,北苑,BJ0004324631
东洲家园,3室1厅,8,东,1960,随时看房,朝阳,北苑,BJ0004322226
东洲家园,3室1厅,9,北,1960,随时看房,朝阳,北苑,BJ0004390202
东洲家园,3室1厅,8,北,1960,随时看房,朝阳,北苑,BJ0004322241
东洲家园,3室1厅,9,东,1960,随时看房,朝阳,北苑,BJ0004324640
东洲家园,3室1厅,8,北,1960,随时看房,朝阳,北苑,BJ0004324650
东洲家园,3室1厅,9,北,2030,随时看房,朝阳,北苑,BJ0004322249
荟康苑,4室1厅,9,南,2060,1996年建板楼,朝阳,管庄,BJ0004337935
鸿博家园F区二期,3室1厅,11,北,2060,随时看房,朝阳,十八里店,BJ0004388916
建东苑,3室1厅,9,北,2060,2000年建板楼,朝阳,管庄,BJ0004386616
东洲家园,3室1厅,10,西,2130,随时看房,朝阳,北苑,BJ0004390662
东洲家园,3室1厅,10,南,2130,随时看房,朝阳,北苑,BJ0004322290
东洲家园,3室1厅,11,西,2130,随时看房,朝阳,北苑,BJ0004322297
东洲家园,3室1厅,10,西,2130,随时看房,朝阳,北苑,BJ0004322275
鸿博家园F区二期,3室1厅,11,南,2160,随时看房,朝阳,十八里店,BJ0004388911
小红门乡新村二期D区,2室1厅,8,西,2190,随时看房,朝阳,十八里店,BJ0004403841
京铁新苑,3室1厅,11,南,2190,随时看房,朝阳,双桥,BJ0004403749
官悦欣园B区,4室1厅,10,北,2190,距离7号线南楼梓庄站293米,朝阳,欢乐谷,BJ0004399825
东洲家园,3室1厅,11,南,2230,随时看房,朝阳,北苑,BJ0004390566
东洲家园,3室1厅,10,西,2230,随时看房,朝阳,北苑,BJ0004390304
东洲家园,3室1厅,12,东,2230,随时看房,朝阳,北苑,BJ0004390558
东洲家园,3室1厅,11,西,2230,随时看房,朝阳,北苑,BJ0004322308
东洲家园,3室1厅,10,南,2230,随时看房,朝阳,北苑,BJ0004390560
东洲家园,3室1厅,10,西,2230,随时看房,朝阳,北苑,BJ0004390664
东洲家园,3室1厅,11,东,2230,随时看房,朝阳,北苑,BJ0004390565
东洲家园,3室1厅,11,西,2230,随时看房,朝阳,北苑,BJ0004390665
东洲家园,3室1厅,11,西,2230,随时看房,朝阳,北苑,BJ0004390655
东洲家园,3室1厅,10,西,2230,随时看房,朝阳,北苑,BJ0004322295
东洲家园,3室1厅,11,南,2230,随时看房,朝阳,北苑,BJ0004324678
东洲家园,3室1厅,10,西,2230,随时看房,朝阳,北苑,BJ0004324691
东洲家园,3室1厅,10,西,2230,随时看房,朝阳,北苑,BJ0004324624
东洲家园,3室1厅,10,西,2230,随时看房,朝阳,北苑,BJ0004390203
东洲家园,3室1厅,11,西,2230,随时看房,朝阳,北苑,BJ0003904813
东洲家园,3室1厅,10,西,2230,随时看房,朝阳,北苑,BJ0004324690
东洲家园,3室1厅,10,西,2230,随时看房,朝阳,北苑,BJ0004322252
东洲家园,3室1厅,12,西,2230,随时看房,朝阳,北苑,BJ0004324666
东洲家园,3室1厅,10,西,2230,随时看房,朝阳,北苑,BJ0003425251
东洲家园,3室1厅,10,西,2230,随时看房,朝阳,北苑,BJ0004324639
东洲家园,3室1厅,10,西,2230,随时看房,朝阳,北苑,BJ0004390463
东洲家园,3室1厅,10,西,2230,随时看房,朝阳,北苑,BJ0004324651
康营家园B区,4室1厅,12,南,2230,2010年建板楼,朝阳,中央别墅区,BJ0004354872
金隅康惠园,3室1厅,10,西,2260,2010年建塔楼,朝阳,双桥,BJ0004397476
金隅康惠园,3室1厅,10,西,2260,2010年建塔楼,朝阳,双桥,BJ0004397476
弘善家园,2室1厅,7,南,2290,2012年建塔楼,朝阳,潘家园,BJ0004365500
康营家园二十九区,3室1厅,13,南,2290,塔楼,朝阳,中央别墅区,BJ0004355398
筑华年,3室1厅,8,北,2330,2010年建板楼,朝阳,北苑,BJ0004397987
北苑家园茉藜园,3室1厅,7,北,2330,2004年建板楼,朝阳,北苑,BJ0004384701
东洲家园,3室1厅,8,北,2360,随时看房,朝阳,北苑,BJ0004357600
东洲家园,3室1厅,8,东,2360,随时看房,朝阳,北苑,BJ0004354994
弘善家园,3室1厅,7,南,2360,2009年建塔楼,朝阳,潘家园,BJ0004391771
远洋一方润园2号院,3室1厅,11,南,2390,2010年建板楼,朝阳,双桥,BJ0004275540
远洋一方润园2号院,3室1厅,11,南,2390,2010年建板楼,朝阳,双桥,BJ0004275538
弘善家园,3室1厅,8,北,2390,2009年建塔楼,朝阳,潘家园,BJ0004400399
万象新天四区,4室1厅,9,东北,2390,2005年建板塔结合,朝阳,常营,BJ0004350971
弘善家园,2室1厅,7,南,2390,2012年建塔楼,朝阳,潘家园,BJ0004394046
管庄西里,3室1厅,11,南,2390,2000年建板楼,朝阳,管庄,BJ0004393894
华威北里,3室1厅,6,北,2390,1993年建塔楼,朝阳,潘家园,BJ0004359731
建东苑,3室1厅,13,南,2390,2000年建板楼,朝阳,管庄,BJ0004386617
远洋一方林语苑,3室1厅,12,南,2430,2009年建板塔结合,朝阳,双桥,BJ0004225841
康营家园二十九区,3室1厅,11,北,2460,塔楼,朝阳,中央别墅区,BJ0004402291
大黄庄东路,3室1厅,11,北,2460,2007年建塔楼,朝阳,定福庄,BJ0004393839
世华泊郡,4室1厅,10,北,2460,2012年建板塔结合,朝阳,北苑,BJ0004384448
华威西里,3室1厅,7,北,2490,1995年建塔楼,朝阳,潘家园,BJ0004393722
康营家园B区,3室1厅,13,南,2490,2010年建板楼,朝阳,中央别墅区,BJ0004386561
远洋一方溪语苑,3室1厅,17,南,2490,2012年建板塔结合,朝阳,双桥,BJ0004385638
京铁新苑,3室1厅,11,南,2530,随时看房,朝阳,双桥,BJ0004403748
京铁新苑,3室1厅,10,南,2530,随时看房,朝阳,双桥,BJ0004403750
康营家园二十九区,3室1厅,12,南,2530,塔楼,朝阳,中央别墅区,BJ0004348307
京棉新城,3室1厅,11,南,2560,2008年建板塔结合,朝阳,十里堡,BJ0004392320
柏林爱乐四期,3室1厅,9,南,2560,2008年建板楼,朝阳,管庄,BJ0004402557
北苑家园清友园,4室1厅,10,北,2590,2002年建塔楼,朝阳,北苑,BJ0004402662
国美第一城2号院,3室1厅,6,北,2590,2006年建板塔结合,朝阳,朝青,BJ0004392141
国美第一城2号院,3室1厅,9,西,2630,2006年建板塔结合,朝阳,朝青,BJ0004392261
华威西里,3室1厅,8,北,2630,1995年建塔楼,朝阳,潘家园,BJ0004401748
三源里北小街,3室1厅,6,西北,2660,1981年建板楼,朝阳,燕莎,BJ0004364207
道家园,4室1厅,9,北,2690,1999年建板塔结合,朝阳,甜水园,BJ0004395086
石佛营西里小区,3室1厅,10,西,2690,2001年建塔楼,朝阳,石佛营,BJ0004298696
慧忠北里第二社区,4室1厅,9,西北,2730,1998年建塔楼,朝阳,亚运村,BJ0004402618
国美第一城2号院,4室1厅,6,东北,2730,2006年建板塔结合,朝阳,朝青,BJ0004397187
世华泊郡,3室1厅,10,南,2730,板楼,朝阳,北苑,BJ0004394952
中环南路11号院,3室1厅,8,东南,2730,1999年建板楼,朝阳,望京,BJ0004389655
国美第一城2号院,4室1厅,7,南,2760,2006年建板塔结合,朝阳,朝青,BJ0004405409
周庄嘉园东里,3室1厅,14,南,2790,2005年建板楼,朝阳,十里河,BJ0004366521
酒仙桥三街坊,3室1厅,9,南,2790,1992年建板楼,朝阳,酒仙桥,BJ0004394359
万象新天天际高尔夫,5室1厅,13,北,2790,2009年建板塔结合,朝阳,常营,BJ0004393044
中国铁建国际城,3室1厅,9,北,2790,2011年建板楼,朝阳,北苑,BJ0004336098
南湖中园二区,3室1厅,8,南,2830,2000年建塔楼,朝阳,望京,BJ0004403729
北苑家园莲葩园,4室1厅,12,南,2830,2004年建塔楼,朝阳,北苑,BJ0004401970
惠新里小区,3室1厅,7,北,2830,1993年建板塔结合,朝阳,惠新西街,BJ0004401272
特区808,4室1厅,9,西,2830,2000年建板塔结合,朝阳,石佛营,BJ0004394779
远洋一方北润园,4室1厅,13,南,2860,2011年建板塔结合,朝阳,双桥,BJ0004359644
金海国际南区,3室1厅,13,北,2860,2005年建塔楼,朝阳,百子湾,BJ0004405433
北苑家园紫绶园,3室1厅,14,西南,2860,2001年建塔楼,朝阳,北苑,BJ0004384467
道家园,3室1厅,10,西,2890,1997年建塔楼,朝阳,甜水园,BJ0004397312
远洋一方北润园,4室1厅,13,南,2890,2011年建板塔结合,朝阳,双桥,BJ0004356445
金星园,4室1厅,8,北,2890,2004年建板塔结合,朝阳,三元桥,BJ0004364265
金泰先锋北区,3室1厅,10,北,2890,2008年建板楼,朝阳,百子湾,BJ0004361598
华纺易城,5室1厅,11,北,2930,2006年建板楼,朝阳,朝青,BJ0004373272
南湖中园二区,3室1厅,8,西北,2960,2000年建板楼,朝阳,望京,BJ0004390301
燕莎后,3室1厅,9,东北,2990,2005年建板楼,朝阳,酒仙桥,BJ0004405864
芍药居北里,3室1厅,8,南,2990,1998年建塔楼,朝阳,芍药居,BJ0004378274
青年汇佳园,3室1厅,8,西,2990,2008年建板楼,朝阳,朝青,BJ0004174995
水碓子西里,3室1厅,6,北,2990,1981年建板楼,朝阳,团结湖,BJ0004398647
芍药居北里,3室1厅,10,西,3030,1994年建板楼,朝阳,芍药居,BJ0004396976
静安东里,3室1厅,8,东南,3030,1987年建塔楼,朝阳,国展,BJ0004327797
望京花园西区,3室1厅,8,西,3030,2000年建塔楼,朝阳,望京,BJ0004366517
后现代城,3室1厅,11,东,3030,2005年建塔楼,朝阳,大望路,BJ0004392619
